// Italian language file by Dalilha <dalilha@users.sourceforge.net>


index of	Indice del
HAB	Abacuc
ZEP	Sofonia 
HAG	Haggai 
ZEC	Zaccaria
MAL	Malachia
GES	GES
LES	LES
TOB	Tobit
JDT	Judith
ESA	Ezra
WIS	Saggezza di Salomone
SIR	Sirach
BAR	Baruch
PAZ	Preghiera di Azariah
SUS	Susanna
BEL	Bel e il Drago
MAN	Preghiera di Manasses
MA1	1 Maccabei
MA2	2 Maccabei
MA3	3 Maccabei
MA4	4 Maccabei
MAT	Mateo
MRK	Marchio 
LUK	Luca
JOH	Giovanni
JHN	Giovanni
ACT	ATTO
ROM	Romani
CO1	1 Corinzi
CO2	2 Corinzi
GAL	Galati
EPH	Efesini 
PHP	Filippesi
COL	Colossesi
TH1	1 Tessalonicesi
TH2	2 Tessalonicesi
TI1	1 Timoteo
TI2	2 Timoteo
TIT	Titus
PHM	Filemone
HEB	Ebrei
JAM	James
PE1	1 Pietro
PE2	2 Pietro
JN1	1 Giovanni
JN2	2 Giovanni
JN3	3 Giovanni
JDE	Jude
REV	Apocalisse



AFAR	Afarã
AFRICAN-AMERICAN_ENGLISH	Enlezã Afro-Americanã
UNITED_STATES		Statele Unite
ABKHAZIAN	Abkhazianã
AVESTAN	Avestanã
AFRIKAANS	Africanã
ENGLISH-CREOLE	Creolã Englezã
ANGUILLA	Anguillanã
AROMANIAN	Aromânã
AKAN	Akanã
ALBANIAN	Albanianã
AMHARIC	Amharicã
ARMENIAN		Armenianã
ARAGONESE	Aragonesã
ANGOLIAN		Angolianã
ANGIKA		Angika
ARABIC	Arabã
ARAMEIC		Arameicã
ALGERIAN_ARABIC		Arabã Algerianã
MOROCCAN_ARABIC	Arabã Marocanã
MOROCCO	Maroc
JUDEO-ARABIC	Iudeo-Arabã 
KABYLE	Kabile
ALGERIA	Algerianã
ASSAMESE		Assamezã
GERMAN_AUSTRI	Germanã Austriacã
AVARIC	Avaricã
AVARIAN_KHANATE	Daghestanezã
AYMARA	Aymara
AUSTRALIA	Australia
AZERBAIJANI	Azerbaijanã
FINNISH	Finlandezã
BASHKIR	Baºkir
BOSNIAN	Bosnianã 
CROATIAN		Croatã 
SERBIAN	Sârbã
BAVARIAN	Bavarezã
BARBADOS	Barbados
BELARUSIAN	Belarusã
BULGARIAN	Bulgarã
BIHARI	Biharã
BHOJPURI	Bhojpuri
BAHRAIN	Bahrain
BISLAMA	Bislama
BURUNDI	Burundi
BENIN	Benin
BONAIRE	Bonaire
BAMBARA	Bambara
BENGALI	Bengali
BRUNEI	Brunei
TIBETAN	Tibetanã
BRETON	Breton
BHUTAN	Bhutan
BOTSWANA	Botswanã
CAMEROONIAN_PIDGIN_ENGLISH		Englezã Cameronianã Pidgin 
CAMEROONIAN	Cameronianã
CATALAN	Catalanã
COA_A_COCOS	Coa de Cocos
CHECHEN	Cecenã
CHAMORRO	Chamoro
CHINESE	Chinezã
CHINESE_FUJIA	Chinezã Fujian
CHINESE_DONG	Chinezã Dong 
CHINA_JINYU		Chinezã Jinyu
CHINESE_MANDARIN	Chinezã Mandarinã
CHINESE_PU-XIAN		Chinezã Pu-Xian
CHINESE_HUIZHOU		Chinezã Huizhou
CHINESE_ZHONG	Chinezã Zhong
DING_CHINESE	Chinezã Ding
GAN_CHINESE	Chinezã Gan
CHINESE_HAKKA	Chinezã Hakka
XIANG_CHINESE		Chinezã Xiang
LITERARY_CHINESE	Chinezã Literarã
MIN_BEI_CHINESE	Chinezã Min Bei
MIN_NAN_CHINESE		Chinezã Min Nan
WU_CHINESE	Chinezã Wu
YUE_CHINESE	Chinezã Yue
CORSICAN		Corsicanã
CREE	Cree
CZECH	Cehã
SLAVONIC	Slavonã
CHUVASH	Chuvaº
WELSH_CYMRAEG	Welsh Cymraeg
MALAYSIAN_CHINESE	Chinezã Malaysianã
PAPIAMENTU	Papiamentu
CURAÇAO	Curaºao
DANISH	Danezã
GERMAN	Germanã
GERMAN_GERMANY	Germanã Germania
DEUTSCH	Deutsch
BELGIUM_GERMAN	Germanã Belgianã
AUSTRIAN_GERMAN	Germanã Austriacã
SWISS_GERMAN	Germanã Swiss
LUXEMBOURG_GERMAN	Germanã Luxembourg
LUXEMBOURGIAN	Luxembourgianã
LIECHTENSTEIN_GERMAN	Germanã Liechtenstein
ALEMANNIC_GERMAN		Germanã Alemannic
DREHU	Drehu
DOMINICAN_CREOLE_FRENCH	Francezã Dominicanã Creolã
ROSEAU	Roseau 
DOMINICA_ENGLISH	Englezã Dominicanã
SANTO_DOMINGO_SPANISH	Spaniolã Santo Domingo
SANTO_DOMINGO_ENGLISH	Englezã Santo Domingo
DJIBOUTI	Djibouti
AFAR_DJIBOUTI	Afarã Djibouti
DIVEHI	Divehi
MALDIVIAN	Maldivianã
SHAWIYA_BERBER	ªawiya Berberã
DZONGKHA	Dzongkha
COPTIC	Coptã
EWE	Ewe
GREEK	Greacã
CAPPADOCIAN_GREEK	Greacã Capadochianã
MYCENAEAN_GREEK	Greacã Micenaeanã
PONTIC	Ponticã
TSAKONIAN	Þakonianã
YEVANIC	Ievanicã
BRITISH_ENGLISH	Englezã Britaicã
BRITISH		Britaicã
FIJIAN_ENGLISH	Englezã Fijian
GIBRALTARIAN	Gibraltarianã
GIBRALTARIAN _ENGLISH	Englezã Gibraltarianã
ENGLISH	Englezã
AMERICAN_ENGLISH	Englezã Americanã
HIBERNO_ENGLISH		Hiberno Englezã
US_ENGLISH	Englezã SUA
ENGLISH_ISRAEL	Englezã Israel
ISRAELY_ENGLISH	Englezã Israelianã 
HEBLISH	Hebliº
ENGBREW	Engbrew
ENGLISH_CANADA	Englezã Canada
CANADIAN_ENGLISH	Englezã Canadianã
COOK_ISLANDS_ENGLISH	Englezã Insulele Cook
INDIAN_ENGLISH	Englezã Indian
ANGUILLAN_ENGLISH	Englezã Anguillanã
AUSTRALIAN_ENGLISH	Englezã Australianã
ENGLISH_NEW_ZEALAND	Englezã Nou Zealandezã
NEW_ZEALAND_ENGLISH	Englezã NOUA Zoealandã 
NEW_ENGLAND_ENGLISH	Englezã NOUA Anglie
BERMUDIAN ENGLISH	Englezã Bermudianã
NIUEAN_ENGLISH	Englezã Niueanã
MONTSERRAT_ENGLISH	Englezã Montserrat
PITCAIRN_ISLAND_ENGLISH	Englezã Insula Pitcairn
ST_HELENA_ENGLISH	Englezã ST Elena
ENGLISH_TURKS_CAICOS	Englezã Turks Caicos
VIRGIN_ISLANDS_ENGLISH	Englezã Insulele Virgine
ESPERANTO	Esperanþo
ERITREA	Eritrea
SPANISH	Spaniolã
SPANISH_MEXICO	Spaniolã Mexico
SPANISH_UNITED_STATES	Spaniolã Statele Unite
SPANISH_CARIBBEAN	Spaniolã Caribbeanã
SPANISH_ARGENTINIAN	Spaniolã Argentinianã
SPANISH_BOLIVIAN	Spaniolã Bolivianã
SPANISH_BRAZILIAN	Spaniolã Brazilianã
SPANISH_CHILEAN	Spaniolã Chileanã
SPANISH_COLOMBIAN	Spaniolã Columbianã
SPANISH_COSTA_RICA	Spaniolã Costa Rica
SPANISH_DOMINICAN_REPUBLIC	Spaniolã Republica Dominicanã
SPANISH_ECUADOR	Spaniolã Ecuador
SPANISH_SPAIN		Spaniolã Spania
SPANISH_NL	Spaniolã NL
SPANISH_EUROPE	Spaniolã Europa
SPANISH_GUATEMALA	Spaniolã Guatemala
SPANISH_HONDURAS	Spaniolã Honduras
SPANISH_LAO	Spaniolã Lao
SPANISH_NICARAGUA	Spaniolã Nicaragua
SPANISH_PANAMIAN	Spaniolã Panamian
SPANISH_PERU	Spaniolã Peru
SPANISH_PUERTO_RICO	Spaniolã Puerto Rico
SPANISH_PARAGUAYS	Paniº Paraguay
SPANISH_EL_SALVADOR	Spaniolã EL Salvador
SPANISH_URUGUAY	Spaniolã Uruguay
SPANISH_VENEZUELA	Spaniolã Venezuela
SPANISH_LATIN_AMERICA	Spaniolã Latin Americanã
ESTONIAN	Estonian
BASQUE	Bascã
PERSIAN	Persianã
ADAMAWA_FULFULDE	Adamawa Fulfuldã
BAGIRMI_FULFULDE	Bagirmi Fulfuldã
BORGU_FULFULDE	Borgu Fulfuldã
NIGER_FULFULDE	Niger Fulfuldã
MAASINA_FULFULDE	Maasina Fulfuldã
NIGERIAN_FULFULDE	Nigerianã Fulfuldã
PULAAR	Pulaarã
WESTERN_NIGER_FULFULDE	Fulfuldã Vest Nigerianã 
KVEN	Kven
NORWEGIAN	Norwegianã
FIJIAN	FIJian
FALKLANDIAN	FalkLandian
FAROESE	Faroese
FRENCH	Francezã
METROPOLITAN_FRENCH	Francezã Metropolitanã
ACADIAN_FRENCH	Francezã Acadianã
DOMINICA_FRENCH	Francezã Dominicanã
ALGERIAN_FRENCH	Francezã Algerianã
AOSTAN_FRENCH	Francezã Aostanã
BELGIAN_FRENCH	Francezã Belgianã
CAMBODIAN_FRENCH	Francezã Cambodianã
CAJUN_FRENCH	Francezã CAJUN
CANADIAN_FRENCH	Francezã Canadianã
GUIANESE_FRENCH	Francezã Guianesã
FRENCH_GUIANA	Francezã Guiana
GUYANESE_CREOLE	Creolã Guianesã
ENGLISH_GUIANA	Englezã Guianesã
GUIANESE_ENGLISH	Guianesã Englezã
HAITIAN_FRENCH	Haitian French
HAITIAN_CREOLE	Creolã Haitianã
INDIAN_FRENCH		Francezã Indianã
ANGLO_NORMAN_FRENCH	Francezã Anglo Normanã
JERSEY_LEGAL_FRENCH	Francezã Jersey Legalã
LAO_FRENCH		Francezã Lao
FRENCH_CREOLE	Francezã Creolã
LOUISIANIAN_FRENCH	Francezã Louisianianã
LOUISIANA_CREOLE	Creolã Louisiana
MERIDIONAL_FRENCH		Francezã Meridionalã
MISSOURI_FRENCH		Francezã Missouri
NEW_CALEDONIAN_FRENCH	Francezã NOUA Caledonie
NEWFOUNDLAND_FRENCH	Francezã NEW Foundland
NEW_ENGLAND_FRENCH	Francezã NOUA Anglie
QUEBEC_FRENCH	Francezã Quebec
SWISS_FRENCH	Francezã Swiss
VIETNAMESE_FRENCH	Francezã Vietnamezã
WEST_INDIAN_FRENCH	Francezã Vest Indianã
WALLISIAN_FRENCH	Francezã Wallisianã
WESTERN_FRISIAN	Frisianã Vesticã
FRYSK	Frisc
IRISH_GABON	Irlandezã Gabonã
GENERAL_AMERICAN	Generalã Americanã
GUADELOUPEAN_CREOLE_FRENCH	Francezã Guadeloupeanã Creolã
SCOTTISH_GRENADA	Scoþianã Grenada
GEORGIAN		Georgianã
LLANITO	Llanito
GUERNESIAIS		Guernesiais
GHANA	Ghana
MODERN_GREEK	Greacã Modernã
ANCIENT_GREEK	Greacã Anticã
GALICIAN	Galicianã
GAMBIA		Gambia
GUARANI	Guarani
CHIRIPA	Chiripa
EASTERN_BOLIVIAN_GUARAN	Guarani Est Bolivianã
MBYA_GUARANI	Guarani Mbya
PARAGUAYAN_GUARANI	Guarani Paraguaian
WESTERN_BOLIVIAN_GUARANI	Guarani Vest Bolivianã
SOUTH_GEORGIA_ENGLISH	Englezã Sud Georgianã
GUATEMALA	Guatemala
EQUATORIAL_GUINEAN	Guineanã Ecuatorialã
GUJARATI	Gujarati
MANX	Manx
GUYAN	Aguiana
HEBREW	Ebraicã
MODERN_HEBREW	Ebraicã Modernã
CLASSICAL_HEBREW	Ebraicã Clasicã
SAMARITAN_ARAMEIC	Arameicã Samariteanã
SAMARITAN_HEBREW	Ebraicã Samariteanã
MOABITE_HEBREW	Ebraicã Moabitã
EDOMITE_HEBREW	Ebraicã Edomitã
IBRIT		Ibrit
HIRI_MOTU	Hiri Motu
HAITIAN	Haitianã
HUNGARIAN	Maghiarã
ARMENIAN_ARTSAKH	Armenianã Artsakh
HERERO	Herero
INTERLINGUA	Interlingua
INDONESIAN	Indonezianã
INTERLINGUE	Interlingue
IRISH	Irlandezã
IGBO	Igbo
SICHUAN_YI	Sichuan YI
INUPIAQ	Inupiaq
IAAI	Iaai
IRANIAN	Iranianã
IDO	Ido
ICELANDIC	Icelandicã
ITALIAN		Italianã
INUKTITUT	Inuktitut
IRAQIAN	Irachianã
JERRIAIS	Jerriais
JORDAN	Iordanianã
JAPANESE	Japonezã
CAMBODIAN	Cambodianã
KENYAN	Kenianã
KIKUYU		Kikuyu
KWANYAMA	Kwaniama
KAZAKH	Cazacã
KALAALLISUT	Kalaallisut
NGAZIDJA_COMORIAN	Comorianã Ngazidja
COMOROS	Comorianã
NDZWANI_COMORIAN	Comorianã Ndzwani
MAORE_COMORIAN	Comorianã Maore
MWALI_COMORIAN	Comorianã Mwali
KHMER	Khmer
KANNADA	Cannada
KOREAN	Coreanã
KANURI	Canuri
ST_KITTS_NEVIS	ST Kitts Nevis
KASHMIRI	Caºmiri
KAZAKHSTAN	Cazacstan
CORNISH	Corniº
KYRGYZSTAN	Chirghizstan
SRI_LANKA	Sri Lanka
LATVIAN	Latvianã
LUXEMBOURGISH	Luxemborghianã
LESOTHO	Lesoto
LAO	LAO
LIBERIA	Liberia
LIBYA	Libia
LIMBURGISH	Limburgiº
LINGALA	Lingala
LITHUANIAN	Lituanianã
LUBA_KATANGA	Luba Catanga
MOLDOVIAN	Moldovianã
MOLDAVIAN	Moldavianã
MONTENEGRIN	Montenegrinã
SAINT_MARTIN_FRENCH	Francezã Sfânt Martin
MALAGASY	Malagasia
MARSHALLESE	Marºallese
MAORI	Maori
MIKMAQ	Micmac
MACEDONIAN	Macedonianã
MALAYALAM	Malaialam
MAURITANIAN	Mauritanianã
MAURITIUS	Mauritiu
MONGOLIAN	Mongolianã
CAROLINIAN	Carolinianã
MALTESE	Maltezã
BURMESE	Burmezã
ANTILLEAN-CREOL	Creolã Antilleanã
NENGONE	Nengonã
NEW_LANGUAGE	Limbã Nouã
DUTCH	Nederlandezã
PENNSYLVANIA_DUTCH	Dutch Pennsilvanian
NORWAY	Norvegianã
NAURU	Nauru
NIUEAN	Niueanã
NU	Niueanã
CHEWA	Eva
OCCITAN	Occitanã
ORIYA	Oriya
OSSETIAN	Oseþianã
PUNJABI	Punjabã
PANJABI	Panjabã
GURMIKI	Gurmiki
PHILIPPINESE	Filipinezã
TAHITIAN	Tahitianã
PAPUA_GUINEA	Papua Guinezã
POLISH	Polonezã
PASHTO	Paºtã
PORTUGUESE	Portughezã
PORTUGUESE_BRASIL	Portughezã Brazilianã
QATAR	Qatar
QUECHUA	Quechua
ROMANSH	Romanº
ROMANI	Romani
KIRUNDI	Chirundi
ROMANIAN	Românã
ROMANIAN_ANSI	Românã ANSI
ROMANIAN_NO_DIACRITIC	Românã Fãrã Diacritice
ROMANIAN_MOLDAVIA	Românã Moldova
ROMANIAN_ROMANIA	Românã Romania
RUSSIAN	Rusã
KINYARWANDA	Kinia Ruanda
SANSKRIT	Sanscritã
SARDINIAN	Sardinianã
SAN_MIGUEL_CREOLE_FRENCH	Creolã Francezã San Miguel 
SINDHI	Sindhi
SANGO	Sango
SERBO_CROATIAN	Sârbo-Croatã
SINHALA	Sinhala
SLOVAK	Slovacã
SLOVENIAN	Slovenã
SAMOAN	Samoan
SHONA	ªona
SOMAL	Somalia
SOMALI	Somalianã
SURINAME	Suriname
SWATI	Swati
STANDARD_SCOTTISH_ENGLISH	Englezã Standard Scoþianã
SOTHO	Soto
SUNDANESE	Sundanezã
SINT_MAARTEN_DUTCH	Dutch Sint Maarten 
SWEDISH	Suedezã
SYRIAC	Siriacã
SWAHILI	Swahili
TURKS_CAICO	Turci Caicos
CHAD	Ciad
TAMIL	Tamil
TELUGU	Telugu
TAJIK	Tajik
THAI	Thai
TIGRINYA	Tigrinia
TURKMEN	Turkmenã
TOKELAUAN	Tokelauan
TAGALOG	Tagalog
TSWANA	Þvana
TONGA	Tonga
TURKISH	Turcã
TSONGA	Þonga
TUVALU	Tuvalu
TATAR	Tãtarã
TAIWANESE_HOKKIEN		Taivanezã Hokkien
UIGHUR	Uigur
UKRAINEAN	Ucraineanã
URDU	Urdu
UZBEK	Uzbecã
LATIN	Latinã
VENDA	Venda
VINCENTIAN-CREO	Creolã Vincenþianã
VIETNAMESE	Vietnamezã
VOLAPUK	Volapuc
FRENCH_VIETNAM	Francezã Vietnam
WALLISIAN	Valisianã
MALAYO-POLYNESIAN	Malaio-Polinesianã
SHIMAORE	ªimaore
WALLOON	Valoon
WOLOF	Volof
XHOSA	Xhosa
YIDDISH	Iidiº
YORUBA	Ioruba
ZHUANG	Zhuang
CHINESE_SIMPLIFIED	Chinezã Simplificatã
CHINESE_HONG_KONG	Chinezã Hong Kong
CHINESE_TRADITIONAL	Chinezã Traditionalã
CHINESE_TRADITIONAL_TAIWAN	Chinezã Traditionalã Taiwan
ZAMBIAN	Zambianã
ZIMBABWE	Zimbabve
ZULU	Zulu


// Mobile device names
A4TS	Archos 40b Titanium Surround
AE5HD	Aquaris E5 HD
ANDROID	Android
ATOOJ	ASUS T00J
ATT	Asus Transformer Tablet
BBCURVE	BlackBerry Curve
BBP	BlackBerry Porsche
BBPB	BlackBerry PlayBook
BBPEARL	BlackBerry Pearl
BBPEARLF	BlackBerry Pearl Flip
BBPP	BlackBerry Passport
BBSTORM	BlackBerry Storm
BBTOUCH	'BlackBerry Touch
BLACKBERRY	BlackBerry
DESKTOPPC	'Desktop
HP8	HUAWEI P8
HPL01	Huawei Honor 7
HPL09	Huawei P9 EVA-L09
HPL23	Huawei P9 Lite
HTCD	HTC Desire
IPAD	iPad
IPHONE	 iPhone
IPOD	iPod
L640XL	 Lumia 640 XL
LG	   LG
LGH850	 LG G5 H850
LGOL7IT	LG Optimus L7 II
LGV500	 LG V500
LK50T5	 Lenovo K50-t5
MDM	  Motorola Droid Mini
N1	   Nexus 1
N4	   Nexus 4
N5	   Nexus 5
N7	   Nexus 7
N9	   Nexus 9
OPO	  OnePlus One
ORN	  Orange Nura
PALM	Palm
SG2T	Samsung Galaxy2 Tablet
SGA4	Samsung Galaxy Ace 4
SGN	  Samsung Galaxy Nexus
SGN3	Samsung Galaxy Note 3
SGN3N	Samsung Galaxy Note 3 Neo
SGN4	Samsung Galaxy Note 4
SGN5	Samsung Galaxy Note 5
SGS2	Samsung Galaxy S2
SGS4	Samsung Galaxy S4
SGS4A	Samsung Galaxy S4 Active
SGS5	Samsung Galaxy S5
SGS5A	Samsung Galaxy S5 Active
SGS6	Samsung Galaxy S6
SGS6E	Samsung Galaxy S6 Edge
SGS7E	Samsung Galaxy S7 Edge
SGS8	Samsung Galaxy S8
SGSD2	Samsung Galaxy S Duos 2
SGT3	Samsung Galaxy Tab 3
SGT3W	Samsung Galaxy Tab3
SGT4	Samsung Galaxy Tab 4
SGTP	Samsung Galaxy TabPRO
SXED	Sony Xperia E1 Dual
SXM2	Sony XPERIA M2
SXZ1	Sony Xperia Z1
SXZ3	Sony Xperia Z3
TKT	  Tianyu K-Touch
VOYAGER	Voyager
WSP	Windows Smartphone
MOBILE_DEVICE	Mobile Device
DESKTOP	Desktop-PC
